013-0002 秋田県 横手市 追廻
013-0003 秋田県 横手市 台所町
013-0004 秋田県 横手市 明永町
013-0005 秋田県 横手市 幸町
013-0006 秋田県 横手市 新坂町
013-0007 秋田県 横手市 大鳥町
013-0008 秋田県 横手市 睦成
013-0011 秋田県 横手市 城西町
013-0012 秋田県 横手市 城山町
013-0013 秋田県 横手市 城南町
013-0014 秋田県 横手市 上内町
013-0015 秋田県 横手市 羽黒町
013-0016 秋田県 横手市 根岸町
013-0017 秋田県 横手市 蛇の崎町
013-0018 秋田県 横手市 本町
013-0019 秋田県 横手市 二葉町
013-0021 秋田県 横手市 大町
013-0022 秋田県 横手市 四日町
013-0023 秋田県 横手市 中央町
013-0024 秋田県 横手市 田中町
013-0025 秋田県 横手市 寿町
013-0026 秋田県 横手市 大水戸町
013-0027 秋田県 横手市 平城町
013-0028 秋田県 横手市 朝倉町
013-0031 秋田県 横手市 鍛冶町
013-0032 秋田県 横手市 清川町
013-0033 秋田県 横手市 旭川
013-0034 秋田県 横手市 本郷町
013-0035 秋田県 横手市 平和町
013-0036 秋田県 横手市 駅前町
013-0037 秋田県 横手市 前郷二番町
013-0038 秋田県 横手市 前郷一番町
013-0041 秋田県 横手市 大沢
013-0042 秋田県 横手市 前郷
013-0043 秋田県 横手市 安田
013-0044 秋田県 横手市 横山町
013-0045 秋田県 横手市 南町
013-0046 秋田県 横手市 神明町
013-0047 秋田県 横手市 松原町
013-0048 秋田県 横手市 安田原町
013-0051 秋田県 横手市 大屋新町
013-0052 秋田県 横手市 大屋寺内
013-0053 秋田県 横手市 外目
013-0054 秋田県 横手市 柳田
013-0055 秋田県 横手市 朝日が丘
013-0056 秋田県 横手市 清水町新田
013-0060 秋田県 横手市 条里
013-0061 秋田県 横手市 横手町
013-0062 秋田県 横手市 駅南
013-0063 秋田県 横手市 婦気大堤
013-0064 秋田県 横手市 赤坂
013-0065 秋田県 横手市 猪岡
013-0066 秋田県 横手市 塚堀
013-0068 秋田県 横手市 梅の木町
013-0069 秋田県 横手市 三枚橋
013-0071 秋田県 横手市 八幡
013-0072 秋田県 横手市 卸町
013-0073 秋田県 横手市 赤川
013-0074 秋田県 横手市 三本柳
013-0075 秋田県 横手市 静町
013-0076 秋田県 横手市 杉目
013-0101 秋田県 横手市 平鹿町上吉田
013-0102 秋田県 横手市 平鹿町醍醐
013-0103 秋田県 横手市 平鹿町下鍋倉
013-0104 秋田県 横手市 平鹿町樽見内
013-0105 秋田県 横手市 平鹿町浅舞
013-0106 秋田県 横手市 平鹿町中吉田
013-0107 秋田県 横手市 平鹿町下吉田
013-0201 秋田県 横手市 雄物川町会塚
013-0202 秋田県 横手市 雄物川町砂子田
013-0203 秋田県 横手市 雄物川町東里
013-0204 秋田県 横手市 雄物川町谷地新田
013-0205 秋田県 横手市 雄物川町今宿
013-0206 秋田県 横手市 雄物川町二井山
013-0207 秋田県 横手市 雄物川町矢神
013-0208 秋田県 横手市 雄物川町沼館
013-0211 秋田県 横手市 雄物川町深井
013-0212 秋田県 横手市 雄物川町造山
